"","unit","coicop","geo","time","values"
"319","I05","CP00","DE",2009-05-01,107
"320","I05","CP00","FR",2009-05-01,107
"321","I05","CP00","PL",2009-05-01,113
"322","I05","CP00","DE",2009-04-01,107.1
"323","I05","CP00","FR",2009-04-01,106.85
"324","I05","CP00","PL",2009-04-01,112.3
"325","I05","CP00","DE",2009-03-01,107
"326","I05","CP00","FR",2009-03-01,106.68
"327","I05","CP00","PL",2009-03-01,111.6
"328","I05","CP00","DE",2009-02-01,107.2
"329","I05","CP00","FR",2009-02-01,106.47
"330","I05","CP00","PL",2009-02-01,110.7
"331","I05","CP00","DE",2009-01-01,106.5
"332","I05","CP00","FR",2009-01-01,106.02
"333","I05","CP00","PL",2009-01-01,109.8
"334","I05","CP00","DE",2008-12-01,107.1
"335","I05","CP00","FR",2008-12-01,106.48
"336","I05","CP00","PL",2008-12-01,109.4
"337","I05","CP00","DE",2008-11-01,106.7
"338","I05","CP00","FR",2008-11-01,106.77
"339","I05","CP00","PL",2008-11-01,109.4
"340","I05","CP00","DE",2008-10-01,107.3
"341","I05","CP00","FR",2008-10-01,107.31
"342","I05","CP00","PL",2008-10-01,109.2
"343","I05","CP00","DE",2008-09-01,107.6
"344","I05","CP00","FR",2008-09-01,107.37
"345","I05","CP00","PL",2008-09-01,108.8
"346","I05","CP00","DE",2008-08-01,107.7
"347","I05","CP00","FR",2008-08-01,107.41
"348","I05","CP00","PL",2008-08-01,108.4
"349","I05","CP00","DE",2008-07-01,108.1
"350","I05","CP00","FR",2008-07-01,107.47
"351","I05","CP00","PL",2008-07-01,108.6
"352","I05","CP00","DE",2008-06-01,107.4
"353","I05","CP00","FR",2008-06-01,107.76
"354","I05","CP00","PL",2008-06-01,108.6
"355","I05","CP00","DE",2008-05-01,107
"356","I05","CP00","FR",2008-05-01,107.31
"357","I05","CP00","PL",2008-05-01,108.4
"358","I05","CP00","DE",2008-04-01,106.3
"359","I05","CP00","FR",2008-04-01,106.7
"360","I05","CP00","PL",2008-04-01,107.7
"361","I05","CP00","DE",2008-03-01,106.6
"362","I05","CP00","FR",2008-03-01,106.29
"363","I05","CP00","PL",2008-03-01,107.3
"364","I05","CP00","DE",2008-02-01,106.1
"365","I05","CP00","FR",2008-02-01,105.45
"366","I05","CP00","PL",2008-02-01,106.9
"367","I05","CP00","DE",2008-01-01,105.5
"368","I05","CP00","FR",2008-01-01,105.22
"369","I05","CP00","PL",2008-01-01,106.4
"370","I05","CP00","DE",2007-12-01,105.9
"371","I05","CP00","FR",2007-12-01,105.23
"372","I05","CP00","PL",2007-12-01,105.9
"373","I05","CP00","DE",2007-11-01,105.2
"374","I05","CP00","FR",2007-11-01,104.8
"375","I05","CP00","PL",2007-11-01,105.6
"376","I05","CP00","DE",2007-10-01,104.7
"377","I05","CP00","FR",2007-10-01,104.17
"378","I05","CP00","PL",2007-10-01,105
"379","I05","CP00","DE",2007-09-01,104.5
"380","I05","CP00","FR",2007-09-01,103.89
"381","I05","CP00","PL",2007-09-01,104.5
"382","I05","CP00","DE",2007-08-01,104.3
"383","I05","CP00","FR",2007-08-01,103.74
"384","I05","CP00","PL",2007-08-01,103.8
"385","I05","CP00","DE",2007-07-01,104.4
"386","I05","CP00","FR",2007-07-01,103.3
"387","I05","CP00","PL",2007-07-01,103.9
